cluster,district,date_announced,category,cases_total
KLUSTER BANDAR BARU SRI SENDAYAN,SEREMBAN,2020-04-14,religious,112
"KLUSTER TABLIGH MAKASAR (JOHOR), INDONESIA",JOHOR BAHRU,2020-04-16,import,27
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER FLAT PKNS,TITIWANGSA,2020-04-16,religious,37
"KLUSTER HPSF, MUAR",MUAR,2020-04-16,highRisk,24
KLUSTER WARGA EMAS,KLANG & PETALING,2020-04-16,highRisk,36
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER PASIR GUDANG EDIBLE OIL (PGEO),JOHOR BAHRU,2020-04-16,religious,15
KLUSTER IJN,PELBAGAI,2020-04-16,highRisk,20
KLUSTER ISTANA NEGARA,"KEPONG, TITIWANGSA & KUANTAN",2020-04-16,workplace,22
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MALAYAN MANSION,LEMBAH PANTAI,2020-04-16,religious,13
"KLUSTER TABLIGH MAKASAR, INDONESIA",PELBAGAI,2020-04-16,import,7
KLUSTER PAKISTAN,TAWAU,2020-04-16,community,6
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER SELANGOR MANSION,LEMBAH PANTAI,2020-04-16,religious,179
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER PEKAN,"PEKAN, KUANTAN, TEMERLOH & MARAN",2020-04-17,religious,22
KLUSTER HOSPITAL SUNGAI BULOH,GOMBAK,2020-04-17,highRisk,18
KLUSTER HOSPITAL UMUM SARAWAK,KUCHING,2020-04-17,highRisk,68
KLUSTER PETUGAS KESIHATAN SABAH,"KOTA KINABALU, PENAMPANG, KENINGAU & TUARAN",2020-04-18,highRisk,35
"KLUSTER PESANTREN MAGETAN, JAWA TIMUR","PUTRAJAYA, MELAKA TENGAH, SEREMBAN, KUCHING & SEPANG",2020-04-19,import,238
KLUSTER SEKSYEN 6 BANGI,HULU LANGAT,2020-04-21,community,31
KLUSTER PENGERANG,"KOTA TINGGI, HULU LANGAT & PETALING",2020-04-22,highRisk,15
KLUSTER PASAR CHOW KIT,"TITIWANGSA, GOMBAK & HULU LANGAT",2020-04-28,workplace,90
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER PASAR HARIAN SELAYANG,"KEPONG, CHERAS & GOMBAK",2020-04-28,religious,6
KLUSTER SELAYANG BARU,GOMBAK,2020-04-30,community,52
KLUSTER PUI ITALI,KUCHING,2020-05-04,import,65
KLUSTER BAH TANJUNG,KUALA NERUS,2020-05-10,community,8
KLUSTER JERAM,KUBANG PASU,2020-05-10,highRisk,5
KLUSTER BAH SINTOK,"KUBANG PASU, SEREMBAN & GOMBAK",2020-05-10,community,50
KLUSTER SUTERA,KOTA KINABALU & PUTATAN,2020-05-11,workplace,126
KLUSTER DANAU,TITIWANGSA,2020-05-11,community,18
KLUSTER INTAN,"TIMUR LAUT, BARAT DAYA,SEBERANG PERAI UTARA, SEBERANG PERAI TENGAH, KUALA MUDA, SIK, PADANG TERAP, KULIM & SUNGAI PETANI",2020-05-11,workplace,207
KLUSTER TAMAR,PETALING,2020-05-11,workplace,20
KLUSTER PASAR BARU,"KLANG, KUALA LANGAT, PETALING & PUTRAJAYA",2020-05-11,workplace,573
KLUSTER RIA-30,TUARAN,2020-05-11,community,783
KLUSTER BATU TIGA,TAWAU,2020-05-12,workplace,33
KLUSTER TAPAK BINA BULATAN,"CHERAS, TITIWANGSA, LEMBAH PANTAI & GOMBAK",2020-05-12,workplace,198
KLUSTER ANDALAS,"KLANG, SEPANG & PETALING",2020-05-12,highRisk,36
KLUSTER JALAN DOMIS,"PENAMPANG, KOTA KINABALU & TONGOD",2020-05-12,community,78
KLUSTER BENUS,BENTONG,2020-05-13,community,5
KLUSTER IPT SABAH,KOTA KINABALU,2020-05-13,community,3
"KLUSTER MADRASAH BAROKATUL QODIRI, SOLOK DUKU",ALOR GAJAH,2020-05-14,religious,4
KLUSTER PUDU,CHERAS & LEMBAH PANTAI,2020-05-18,community,80
KLUSTER PASAR KAJANG,HULU LANGAT,2020-05-21,workplace,5
KLUSTER DTI BUKIT JALIL,"CHERAS, KEPONG & PORT DICKSON",2020-05-21,detentionCentre,653
KLUSTER DTI SEMENYIH,HULU LANGAT,2020-05-23,detentionCentre,66
KLUSTER DTI SEPANG,SEPANG,2020-05-25,detentionCentre,72
KLUSTER TAPAK PEMBINAAN KUALA LUMPUR 2,LEMBAH PANTAI,2020-05-25,workplace,73
KLUSTER SYARIKAT PEMBERSIHAN,"KUALA LANGAT, SEPANG & SEREMBAN",2020-05-29,workplace,34
KLUSTER DTSI PUTRAJAYA,PUTRAJAYA,2020-05-30,detentionCentre,2
KLUSTER SYARIKAT PEMBINAAN JALAN MARAN,MARAN,2020-05-31,workplace,2
KLUSTER LADANG BERA,BERA,2020-05-31,workplace,7
KLUSTER KILANG PAPAN MARAN,MARAN,2020-05-31,workplace,6
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MAJLIS PERKAHWINAN BANDAR BARU BANGI,PELBAGAI,2020-06-04,religious,159
KLUSTER PERSIDANGAN GEREJA GNF,"KUCHING, SAMARAHAN & SERIAN",2020-06-04,religious,191
KLUSTER TAPAK PEMBINAAN SETIA ALAM,PETALING,2020-06-05,workplace,15
KLUSTER SYARIKAT PEMBERSIHAN KUALA LUMPUR,TITIWANGSA & HULU LANGAT ,2020-06-06,workplace,4
KLUSTER TEDUH,LAHAD DATU,2020-06-10,community,53
KLUSTER BATU,LARUT MATANG & SELAMA ,2020-06-10,community,7
KLUSTER RAMAI-RAMAI,SANDAKAN,2020-06-10,workplace,278
KLUSTER FORES,"GOMBAK, PETALING, KLANG & KEPONG",2020-06-11,workplace,21
KLUSTER MAMPULUT,KENINGAU,2020-06-11,community,101
KLUSTER RENGAS,"KUALA KANGSAR, LARUT MATANG, SELAMA, KERIAN, SEBERANG PERAI SELATAN & KULIM",2020-06-11,education,136
KLUSTER PULAU BERHALA,SANDAKAN,2020-06-12,community,65
KLUSTER JALAN TAMPOI,"JOHOR BAHRU, KULAI, PONTIAN & KUALA TERENGGANU",2020-06-12,workplace,141
KLUSTER CERAM,"SEREMBAN, JELEBU, PORT DICKSON, SEPANG, PETALING & ROMPIN",2020-06-12,workplace,1027
KLUSTER WARGA EMAS KUALA SELANGOR,KUALA SELANGOR,2020-06-15,highRisk,8
KLUSTER MDR,"KOTA KINABALU, PENAMPANG & TUARAN",2020-06-17,highRisk,5
KLUSTER TAPAK PEMBINAAN KUCHING,KUCHING,2020-06-18,workplace,3
KLUSTER KIDURONG,BINTULU,2020-06-19,community,8
KLUSTER LANJUT,SEPANG,2020-06-20,community,5
KLUSTER BUKIT BINTANG,LEMBAH PANTAI & GOMBAK,2020-06-24,community,11
KLUSTER KONDOMINIUM HULU LANGAT,HULU LANGAT,2020-06-24,community,3
KLUSTER SYARIKAT PEMBINAAN KUCHING,KUCHING,2020-06-24,workplace,2
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER BANDAR BARU IBRAHIM MAJID & KAWASAN SEKITAR,KLUANG,2020-07-04,religious,193
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER MENARA PLAZA CITY ONE,LEMBAH PANTAI,2020-07-04,religious,55
KLUSTER PENGAWAL KESELAMATAN CHERAS,"HULU LANGAT, CHERAS & TITIWANGSA",2020-07-05,workplace,39
KLUSTER GOMBAK,GOMBAK & TITIWANGSA,2020-07-06,community,5
KLUSTER SUNGAI,"KOTA SETAR, KUBANG PASU, POKOK SENA & KANGAR",2020-07-09,highRisk,101
KLUSTER PENJARA REMAN,"TIMUR LAUT, BARAT DAYA, SEBERANG PERAI UTARA & KULIM",2020-07-10,detentionCentre,524
KLUSTER BAH PUCHONG,"KLANG, PETALING, KINTA, LARUT MATANG, SELAMA & TITIWANGSA ",2020-07-10,community,14
KLUSTER MAHKOTA,"HULU LANGAT, KEPONG, TITIWANGSA, PUTRAJAYA & SIBU",2020-07-11,community,10
KLUSTER SOFTWOOD LD,LAHAD DATU,2020-07-11,workplace,16
KLUSTER TERATAI,"KLANG, KUALA SELANGOR, PETALING, HULU LANGAT, GOMBAK, HULU SELANGOR, SEPANG, KUALA LANGAT, KUALA SELANGOR, KEPONG, SABAK BERNAM, CHERAS, TITIWANGSA, PUTRAJAYA, KUALA TERENGGANU, SEREMBAN",2020-07-11,workplace,7205
KLUSTER TAPAK BINA DAMANLELA,"KEPONG, TITIWANGSA, LEMBAH PANTAI, GOMBAK, KUALA SELANGOR, PETALING, CHERAS, HULU LANGAT, HULU SELANGOR, KLANG, SEPANG, KUALA LANGAT & KUALA NERUS",2020-07-11,workplace,2785
KLUSTER MALAWATI,KUALA SELANGOR,2020-07-12,workplace,16
KLUSTER JALAN RUSA,CHERAS,2020-07-12,community,154
KLUSTER TAPAK BINA AWAN LEMBAH,"LEMBAH PANTAI, TITIWANGSA, KEPONG, KLANG & KUALA LANGAT",2020-07-12,workplace,106
KLUSTER PUI NOVGOROD,ALOR GAJAH & SEPANG,2020-07-13,import,6
KLUSTER MAMBONG,KUCHING & SAMARAHAN,2020-07-16,workplace,7
KLUSTER JUPITER,BINTULU,2020-07-17,import,3
KLUSTER PUI SHIRALA,LEMBAH PANTAI,2020-07-17,import,2
KLUSTER PUSAT PERUBATAN KUCHING,KUCHING,2020-07-17,highRisk,3
KLUSTER PUI PITAKWA,KEMAMAN,2020-07-17,import,3
KLUSTER PASAR STUTONG,KUCHING,2020-07-18,workplace,7
KLUSTER RESTORAN KUALA LUMPUR,LEMBAH PANTAI,2020-07-19,workplace,2
KLUSTER JETI KUCHING,KUCHING,2020-07-19,workplace,2
KLUSTER RUMAH KONGSI SEPANG,SEPANG,2020-07-19,community,3
KLUSTER WARGA EMAS KLUANG,KLUANG ,2020-07-20,highRisk,18
KLUSTER SENTOSA,"KUCHING, BAU, SAMARAHAN & SERIAN",2020-07-21,highRisk,31
KLUSTER HYDE PARK,KLANG ,2020-07-22,import,4
KLUSTER PUI MELBOURNE,KUCHING,2020-07-22,import,3
KLUSTER PUI RAMNAD,TITIWANGSA,2020-07-22,import,3
KLUSTER PUI AL KHOBAR,PETALING,2020-07-24,import,2
KLUSTER ELSA,KUANTAN,2020-07-24,import,4
KLUSTER BUKIT TIRAM,JOHOR BAHRU & PETALING,2020-07-25,religious,10
KLUSTER SATOK,KUCHING,2020-07-28,workplace,4
KLUSTER PUI SIVAGANGGA,"KUBANG PASU, PADANG TERAP, KULIM, KANGAR, SEBERANG PERAI SELATAN & SEBERANG PERAI TENGAH",2020-07-28,import,45
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER REMBAU,REMBAU,2020-08-04,religious,53
KLUSTER TUJUH SERANGKAI,TUARAN & KOTA KINABALU ,2020-08-10,community,399
KLUSTER BAH BANGAT,LABUAN ,2020-08-10,community,11
KLUSTER JALAN PANTAI,LEMBAH PANTAI & PETALING,2020-08-10,community,12
KLUSTER BAH KASTURI,"SEREMBAN, CHERAS, TITIWANGSA, PUTRAJAYA,PETALING, KLANG, KUALA LANGAT, HULU LANGAT, GOMBAK & MUALLIM",2020-08-10,community,28
KLUSTER BAH ARNAB,KUCHING,2020-08-10,community,12
KLUSTER TANAMERA,TAWAU & TUARAN,2020-08-10,community,89
KLUSTER BERENDAM,"MELAKA TENGAH, ALOR GAJAH, JASIN & TANGKAK",2020-08-11,workplace,44
KLUSTER WISMA SABERKAS,KUCHING & SAMARAHAN,2020-08-11,workplace,44
KLUSTER IKHTISAS,"PETALING, KLANG, JELI & SEREMBAN",2020-08-11,highRisk,25
KLUSTER TAPAK BINA DARUL,"PETALING, SEPANG, KUALA LANGAT, KLANG, TITIWANGSA, CHERAS, LEMBAH PANTAI & SEREMBAN",2020-08-12,workplace,22
KLUSTER SERULING,"KLANG, HULU SELANGOR, PETALING, GOMBAK, KUALA LANGAT, SABAK BERNAM, HULU LANGAT, SEPANG, KUALA SELANGOR, MUALLIM, MELAKA TENGAH, TAMPIN & PUTRAJAYA",2020-08-12,workplace,2675
KLUSTER TAWAR,"BALING, KUALA MUDA, KULIM, SIK, BARAT DAYA, TIMUR LAUT & SEBERANG PERAI UTARA",2020-08-13,religious,92
KLUSTER MUDA,KUALA MUDA & KOTA SETAR,2020-08-14,workplace,3
KLUSTER SALA,"YAN, KUALA MUDA, KULIM & KOTA SETAR",2020-08-15,community,11
KLUSTER ALAM (KAPAL),BINTULU,2020-08-20,import,8
KLUSTER MAJU,TITIWANGSA,2020-08-21,workplace,3
KLUSTER MV GLEN (KAPAL),KLANG,2020-08-30,import,3
KLUSTER TELAGA,"KOTA SETAR,  PADANG TERAP,KUBANG PASU, KUALA MUDA & POKOK SENA",2020-08-30,highRisk,16
KLUSTER BUNGA (KAPAL),SEPANG & PORT DICKSON,2020-08-31,import,11
KLUSTER MERANTI,SEPANG & PUTRAJAYA,2020-09-08,workplace,2
KLUSTER KURAU,"KINTA, KERIAN & SEBERANG PERAI TENGAH  ",2020-09-08,community,5
KLUSTER BAH LADA,PERAK TENGAH & HILIR PERAK,2020-09-10,community,4
KLUSTER ATAP,KOTA KINABALU & PUTATAN,2020-09-10,workplace,4
KLUSTER BAH SAHABAT,"MARANG, KUALA TERENGGANU & KUALA NERUS",2020-09-10,community,11
KLUSTER HARMONI,PUTRAJAYA,2020-09-11,workplace,6
KLUSTER NUMBAK,KOTA KINABALU,2020-09-11,community,12
KLUSTER PADANG,"KOTA TINGGI, JOHOR BAHRU",2020-09-11,workplace,17
KLUSTER SERI TERAPI,"KEPONG, CHERAS, LEMBAH PANTAI, GOMBAK, PETALING, HULU LANGAT & ALOR GAJAH",2020-09-11,community,31
KLUSTER NAHABA,"KOTA BELUT, SIPITANG & TUARAN",2020-09-11,community,69
KLUSTER PERIGI,"KLANG, KUALA LANGAT, HULU LANGAT, KUALA SELANGOR, HULU SELANGOR & PETALING",2020-09-11,community,1113
KLUSTER BANDAR IMPIAN,"KLUANG, PASIR PUTEH & KUALA KANGSAR",2020-09-12,community,12
KLUSTER JALAN KEMANG,PORT DICKSON & SEREMBAN,2020-09-12,workplace,22
KLUSTER TAPAK BINA IKON BINTANG,"LEMBAH PANTAI, KEPONG, CHERAS & HULU LANGAT",2020-09-12,workplace,159
KLUSTER KUPI-KUPI,PENAMPANG & KOTA KINABALU,2020-09-12,workplace,38
KLUSTER PULAU,"KUNAK, SEMPORNA & TAWAU",2020-09-15,community,53
KLUSTER SELAMAT,SEMPORNA,2020-09-17,community,25
KLUSTER BAKAU,SEMPORNA,2020-09-19,community,18
KLUSTER ARA,SANDAKAN & BARAT DAYA,2020-09-20,community,2
KLUSTER KUARTERS,"TONGOD, TELUPID & KINABATANGAN",2020-09-21,highRisk,9
KLUSTER BANGAU-BANGAU,SEMPORNA & TAWAU,2020-09-22,community,432
KLUSTER UDIN,TAWAU,2020-09-23,community,3
KLUSTER ORKIM (KAPAL),JOHOR BAHRU,2020-09-25,import,2
KLUSTER SETAPAK,TITIWANGSA,2020-09-27,community,3
KLUSTER KAMPUNG SAKONG,SEMPORNA,2020-09-27,community,10
KLUSTER BUANG SAYANG,"SIPITANG, PITAS, PUTATAN, TITIWANGSA, SEREMBAN & REMBAU",2020-09-27,community,17
KLUSTER JALAN APAS,KLANG,2020-09-28,community,9
KLUSTER JALAN UTARA,SANDAKAN,2020-09-29,community,2
KLUSTER BAKAWALI,JOHOR BAHRU,2020-09-29,workplace,15
KLUSTER JALAN BOMBA,SANDAKAN,2020-09-29,community,102
KLUSTER BENTENG PK,KLANG & KUALA LANGAT,2020-09-29,import,80
KLUSTER HIGHWAY,KOTA BELUD,2020-10-10,workplace,48
KLUSTER PUTRA,BINTULU,2020-10-10,community,5
KLUSTER TASIK,"MIRI, PETALING, KLANG & GOMBAK ",2020-10-10,religious,24
KLUSTER SIMERA,"BESUT, KUANTAN, PETALING, KLANG,  HULU LANGAT, GOMBAK, PORT DICKSON, MANJUNG, HILIR PERAK, JOHOR BAHRU, MUAR, LEMBAH PANTAI, PUTRAJAYA & TANAH MERAH",2020-10-10,workplace,84
KLUSTER UTAMA,"GOMBAK, HULU LANGAT, PETALING, KUALA SELANGOR, SEPANG, ALOR GAJAH, LEMBAH PANTAI, TITIWANGSA, KEPONG & CHERAS ",2020-10-10,workplace,283
KLUSTER BAH MANGGIS,"TAWAU, KUALA LANGAT, KLANG, GOMBAK, SEPANG, KUALA SELANGOR, SEREMBAN & PORT DICKSON",2020-10-10,community,417
KLUSTER KUBE,"KOTA BAHRU, TANAH MERAH & PETALING",2020-10-11,community,27
KLUSTER TATAHAN,KOTA KINABALU,2020-10-11,community,22
KLUSTER LIAWAN,KENINGAU,2020-10-11,community,51
KLUSTER GK TAWAU,TAWAU,2020-10-11,detentionCentre,102
KLUSTER TAPAK BINA JALAN BUKIT,HULU LANGAT & SEREMBAN,2020-10-12,workplace,53
KLUSTER TAPAK BINA CONDONG,"LEMBAH PANTAI, TITIWANGSA & CHERAS",2020-10-12,workplace,30
KLUSTER JALAN DALAM,"KULAI, BATU PAHAT, JOHOR BAHRU & PONTIAN",2020-10-12,workplace,31
KLUSTER TAPAK BINA JALAN STADIUM,"TITIWANGSA, LEMBAH PANTAI, CHERAS, KEPONG, PADANG TERAP, SEPANG & GOMBAK",2020-10-12,workplace,690
KLUSTER TENUN MERAH,BATU PAHAT,2020-10-12,workplace,95
KLUSTER BAH KENANGAN,HULU LANGAT ,2020-10-13,community,29
KLUSTER BINA,BEAUFORT & SIPITANG,2020-10-13,workplace,25
KLUSTER BESTARI,SANDAKAN ,2020-10-13,community,28
KLUSTER SEMARAK,TAWAU,2020-10-13,community,14
KLUSTER SABINDO,TAWAU,2020-10-13,workplace,14
KLUSTER PENJARA SEBERANG PERAI,"SEBERANG PERAI SELATAN, SEBERANG PERAI UTARA & ARAU",2020-10-13,detentionCentre,776
KLUSTER KENCANA,"PETALING, HULU LANGAT, KLANG, GOMBAK, CHERAS, JOHOR BAHRU, BATU PAHAT, PONTIAN & KUALA NERUS ",2020-10-14,workplace,26
KLUSTER SAGUKING,LABUAN,2020-10-15,community,414
KLUSTER BAH PASIR,PORT DICKSON & PUTRAJAYA,2020-10-15,community,5
KLUSTER BAH PENGKALAN,HULU PERAK,2020-10-15,education,6
KLUSTER OLIVE,"HULU LANGAT, PENAMPANG & KOTA MARUDU",2020-10-15,religious,18
KLUSTER BUNTAR,"KUALA MUDA, HILIR PERAK, KAMPAR, BATANG PADANG, KERIAN, KINTA, HULU PERAK, KUALA KANGSAR, LARUT, MATANG & SELAMA, KEPONG, TITIWANGSA, LEMBAH PANTAI, PUTRAJAYA, BATU PAHAT, JOHOR BAHRU, PETALING, SEPANG & SEBERANG PERAI SELATAN",2020-10-16,workplace,252
KLUSTER LEKIR,MANJUNG & KERIAN,2020-10-16,community,18
KLUSTER MERBOK,"KUALA LANGAT, KLANG, HULU LANGAT, PETALING & KUALA SELANGOR",2020-10-16,workplace,35
KLUSTER SENTRAL,"KEPONG, CHERAS, TITIWANGSA, LEMBAH PANTAI & PETALING ",2020-10-17,highRisk,19
KLUSTER MENARA,"HULU LANGAT, PETALING, GOMBAK, KLANG, SEPANG, KUALA LANGAT, CHERAS, TITIWANGSA, LEMBAH PANTAI, WP PUTRAJAYA, LARUT MATANG, SELAMA, KUALA NERUS & MELAKA TENGAH",2020-10-17,workplace,85
KLUSTER BAH BEMBAN,DUNGUN & KOTA KINABALU,2020-10-17,community,12
KLUSTER KELADI,KLANG & KUALA LANGAT,2020-10-17,workplace,61
KLUSTER ALMA,"SEBERANG PERAI TENGAH, SEBERANG PERAI SELATAN, SEBERANG PERAI UTARA, KERIAN, BANDAR BAHARU & KULIM",2020-10-18,community,46
KLUSTER BAH LAYANGAN,LABUAN & REMBAU ,2020-10-18,community,14
KLUSTER AUTO,"PETALING, KLANG, KUALA LANGAT, SEPANG, GOMBAK, HULU LANGAT, KUALA SELANGOR, SEREMBAN, TITIWANGSA & PUTRAJAYA",2020-10-18,community,128
KLUSTER PENJARA KEPAYAN,"KOTA KINABALU, PAPAR, PENAMPANG, SANDAKAN & PUTATAN",2020-10-18,detentionCentre,1900
KLUSTER BUKIT,"MELAKA TENGAH, ALOR GAJAH & JASIN",2020-10-19,highRisk,17
KLUSTER HENTIAN,"HULU LANGAT, PETALING, SEPANG, KLANG, GOMBAK, KUALA LANGAT, CHERAS, TITIWANGSA, PUTRAJAYA, SEREMBAN,  PORT DICKSON, KUALA PILAH, BATANG PADANG",2020-10-19,workplace,3019
KLUSTER KERTANG,KOTA BELUD,2020-10-20,workplace,42
KLUSTER INAI,KUDAT ,2020-10-21,community,63
KLUSTER CAHAYA,"PETALING, TAMPIN, TITIWANGSA, LEMBAH PANTAI, KEPONG & CHERAS",2020-10-21,religious,55
KLUSTER MELATI,"TITIWANGSA, KEPONG, CHERAS, KLANG,  PETALING, HULU LANGAT, KUANTAN & HILIR PERAK",2020-10-21,workplace,77
KLUSTER TEMPAYAN,PENAMPANG & KOTA KINABALU ,2020-10-21,workplace,35
KLUSTER LONG,"HULU LANGAT, PETALING, SEPANG, TITIWANGSA, LEMBAH PANTAI & KEPONG",2020-10-21,community,26
KLUSTER BAH KOTA,"SEPANG, PETALING & SEREMBAN",2020-10-21,community,13
KLUSTER BINA LABUAN,LABUAN,2020-10-21,workplace,50
KLUSTER BASUNG,KUDAT,2020-10-21,workplace,94
KLUSTER JAMBU,HULU LANGAT & TIMUR LAUT,2020-10-22,community,18
KLUSTER SOFI,SEREMBAN,2020-10-22,education,107
KLUSTER BAH MUTIARA,"HULU LANGAT, TITIWANGSA, LEMBAH PANTAI & SEREMBAN",2020-10-22,community,10
KLUSTER UMBOO,ALOR GAJAH & MELAKA TENGAH ,2020-10-22,detentionCentre,4
KLUSTER SAUH,"JASIN, KOTA KINABALU, TAWAU, SEMPORNA, PAPAR, TUARAN, MIRI & DARO ",2020-10-22,workplace,35
KLUSTER TINUSA,SANDAKAN,2020-10-22,community,70
KLUSTER JAYA,"SEREMBAN, SEPANG, KUALA LANGAT & GOMBAK",2020-10-23,workplace,138
KLUSTER PALMA,"GOMBAK, HULU SELANGOR & KEPONG",2020-10-23,workplace,22
KLUSTER SAMUDERA,SANDAKAN,2020-10-23,workplace,79
KLUSTER BAKI,"KUCHING, KINTA, LARUT MATANG & SELAMA",2020-10-24,community,46
KLUSTER KEMPAS,"JOHOR BAHRU, KULAI, PONTIAN & KLUANG",2020-10-24,education,55
KLUSTER BAH KAYU,GOMBAK & TITIWANGSA,2020-10-24,workplace,19
KLUSTER MEGAH,SANDAKAN & KOTA KINABALU,2020-10-24,community,29
KLUSTER MESRA,SANDAKAN,2020-10-24,community,223
KLUSTER KAYA,"SEREMBAN, PORT DICKSON, KUALA PILAH, REMBAU, LEMBAH PANTAI, CHERAS, TITIWANGSA, KEPONG, PUTRAJAYA, MELAKA TENGAH, SEPANG, KLANG KUALA LANGAT, KUALA SELANGOR, PETALING, HULU LANGAT, KLUANG, KOTA TINGGI, KOTA BHARU, TANAH MERAH & MANJUNG",2020-10-24,workplace,1079
KLUSTER BANDARAN,"KOTA KINABALU, PAPAR & PENAMPANG",2020-10-25,workplace,18
KLUSTER SELADAH,KUCHING & SERIAN ,2020-10-25,community,9
KLUSTER MAKEKAR,"KEMAMAN, DUNGUN, KUALA TERENGGANU, MARANG, BESUT, KUALA NERUS & KLANG",2020-10-25,workplace,62
KLUSTER TITIR,KENINGAU,2020-10-25,workplace,144
KLUSTER JAMBUL,SANDAKAN,2020-10-25,community,13
KLUSTER OMADAL,SEMPORNA,2020-10-25,community,35
KLUSTER MENTARI,"PETALING, KLANG, GOMBAK, HULU LANGAT, SEREMBAN & KEPONG",2020-10-25,community,35
KLUSTER BAYAN,"TIMUR LAUT, BARAT DAYA, SEBERANG PERAI UTARA, SEBERANG PERAI TENGAH, SEBERANG PERAI SELATAN, BANDAR BAHARU,  KUBANG PASU, KUALA MUDA, KULIM, KOTA SETAR, KERIAN, LARUT MATANG & SELAMA ",2020-10-25,workplace,167
KLUSTER JERNIH,"SEREMBAN, PORT DICKSON, SEPANG & KUALA LANGAT",2020-10-25,workplace,77
KLUSTER KAPOR,KUDAT ,2020-10-26,community,59
KLUSTER PENJARA TAPAH,BATANG PADANG,2020-10-26,detentionCentre,14
KLUSTER HAMPAR,REMBAU ,2020-10-26,education,5
KLUSTER LINTAS,KOTA KINABALU,2020-10-27,workplace,14
KLUSTER LIMBUNGAN,LABUAN,2020-10-27,workplace,54
KLUSTER BAYU,JOHOR BAHRU & MUAR ,2020-10-28,community,8
KLUSTER IDAMAN,"PETALING, GOMBAK, TITIWANGSA & CHERAS",2020-10-28,highRisk,11
KLUSTER SERI GAYA,KOTA KINABALU & TUARAN ,2020-10-28,community,18
KLUSTER GREENHILL,"KUCHING, MIRI & BINTULU",2020-10-28,community,91
KLUSTER TUGUSON,KOTA BELUD,2020-10-29,education,18
KLUSTER SAKTI,LAHAD DATU,2020-10-29,community,28
KLUSTER TAMAN LAUT,PETALING & KLANG,2020-10-29,workplace,30
KLUSTER TAMAN BUNGA,"SEREMBAN, KUALA PILAH, JELEBU & JEMPOL",2020-10-29,workplace,66
KLUSTER BAH MEDAN,SEPANG ,2020-10-29,community,65
KLUSTER MELDRUM,"JOHOR BAHRU, KOTA TINGGI & TANGKAK",2020-10-30,community,7
KLUSTER MERPATI,"SEPANG, GOMBAK, KUALA LANGAT, CHERAS & KEPONG",2020-10-30,workplace,52
KLUSTER SEMBULAN,KOTA KINABALU,2020-10-30,workplace,13
KLUSTER GALA,JELEBU & SEREMBAN ,2020-10-30,highRisk,15
KLUSTER TELIPOK,KOTA KINABALU & TUARAN,2020-10-30,workplace,22
KLUSTER ASTAKA,"PETALING, HULU LANGAT, SEPANG, KUALA SELANGOR, KLANG & MARAN",2020-10-30,workplace,64
KLUSTER RUMAH MERAH,KOTA KINABALU,2020-10-30,detentionCentre,791
KLUSTER TITIAN,LABUAN ,2020-10-30,community,87
SUBKLUSTER TABLIGH SRI PETALING - KLUSTER PASAR BESAR JALAN OTHMAN,"KEPONG, GOMBAK & PETALING",2020-11-05,religious,28
KLUSTER SUNGEI WAY,"PETALING, KLANG, GOMBAK, HULU LANGAT, KUALA LANGAT, TITIWANGSA, LEMBAH PANTAI, CHERAS, TIMUR LAUT & SEBERANG PERAI UTARA",2020-11-10,community,62
KLUSTER KHAZANAH,LAHAD DATU,2020-11-10,community,21
KLUSTER BAH BUNDLE,LABUAN & JOHOR BAHRU,2020-11-10,workplace,31
KLUSTER KASIH,LAHAD DATU & KOTA KINABALU,2020-11-10,highRisk,75
KLUSTER SURAT,SANDAKAN,2020-11-10,community,47
KLUSTER KARAMUNTING,SANDAKAN,2020-11-11,community,105
KLUSTER SAGA,KOTA KINABALU,2020-11-11,community,31
KLUSTER HAVEN,LAHAD DATU,2020-11-11,highRisk,22
KLUSTER ERIMA,GOMBAK,2020-11-12,workplace,34
KLUSTER JALAN COLLEGE,SEREMBAN & PETALING,2020-11-12,education,21
KLUSTER SUNGAI KELUANG,"TIMUR LAUT, BARAT DAYA, SEBERANG PERAI UTARA, SEBERANG PERAI SELATAN & SEBERANG PERAI TENGAH",2020-11-12,workplace,89
KLUSTER TAPAK BINA JALAN BERANGAN,"LEMBAH PANTAI, TITIWANGSA & KEPONG",2020-11-12,workplace,103
KLUSTER SUNGAI PUTUS,"KLANG, KUALA SELANGOR, PETALING",2020-11-12,workplace,3443
KLUSTER LANGKASUKA,KULAI & JOHOR BAHRU,2020-11-12,workplace,68
KLUSTER ABELL,KUCHING,2020-11-13,workplace,15
KLUSTER BMU,JASIN,2020-11-13,highRisk,10
KLUSTER BONGGAYA,SANDAKAN,2020-11-13,community,54
KLUSTER JAMBATAN B,SANDAKAN,2020-11-13,community,111
